,start,end,activity
5619,1387734600,1387735500,inactive
5620,1387734300,1387734600,light_activity
5621,1387733820,1387734300,inactive
5622,1387733460,1387733820,light_activity
5623,1387732200,1387733460,inactive
5624,1387732080,1387732200,light_activity
5625,1387728660,1387732080,inactive
5626,1387718700,1387728660,sleep
5627,1387715820,1387718700,inactive
5628,1387715640,1387715820,light_activity
5629,1387715400,1387715640,inactive
5630,1387692240,1387715400,sleep
5631,1387871340,1387894800,sleep
5632,1387870260,1387871340,inactive
5633,1387870200,1387870260,light_activity
5634,1387869120,1387870200,inactive
5635,1387868580,1387869120,light_activity
5636,1387864860,1387868580,inactive
5637,1387864380,1387864860,light_activity
5638,1387863840,1387864380,inactive
5639,1387863240,1387863840,light_activity
5640,1387862940,1387863240,inactive
5641,1387862880,1387862940,light_activity
5642,1387861920,1387862880,inactive
5643,1387861680,1387861920,light_activity
5644,1387861380,1387861680,inactive
5645,1387861320,1387861380,light_activity
5646,1387860900,1387861320,inactive
5647,1387860660,1387860900,light_activity
5648,1387859820,1387860660,inactive
5649,1387859700,1387859820,light_activity
5650,1387859100,1387859700,inactive
5651,1387859040,1387859100,light_activity
5652,1387858740,1387859040,inactive
5653,1387858680,1387858740,light_activity
5654,1387858500,1387858680,inactive
5655,1387858440,1387858500,light_activity
5656,1387858260,1387858440,inactive
5657,1387857660,1387858260,light_activity
5658,1387857420,1387857660,inactive
5659,1387857180,1387857420,light_activity
5660,1387856940,1387857180,inactive
5661,1387856820,1387856940,light_activity
5662,1387856400,1387856820,inactive
5663,1387855800,1387856400,light_activity
5664,1387855320,1387855800,inactive
5665,1387855200,1387855320,light_activity
5666,1387853280,1387855200,inactive
5667,1387852560,1387853280,light_activity
5668,1387852380,1387852560,inactive
5669,1387852320,1387852380,light_activity
5670,1387851120,1387852320,inactive
5671,1387851060,1387851120,light_activity
5672,1387850760,1387851060,inactive
5673,1387850700,1387850760,light_activity
5674,1387850460,1387850700,inactive
5675,1387850160,1387850460,light_activity
5676,1387849980,1387850160,inactive
5677,1387849020,1387849980,light_activity
5678,1387848180,1387849020,inactive
5679,1387848120,1387848180,light_activity
5680,1387844880,1387848120,inactive
5681,1387844820,1387844880,light_activity
5682,1387844640,1387844820,inactive
5683,1387844280,1387844640,light_activity
5684,1387840440,1387844280,inactive
5685,1387839240,1387840440,light_activity
5686,1387837320,1387839240,inactive
5687,1387837260,1387837320,light_activity
5688,1387836540,1387837260,inactive
5689,1387836420,1387836540,light_activity
5690,1387836240,1387836420,inactive
5691,1387835820,1387836240,light_activity
5692,1387835640,1387835820,inactive
5693,1387834740,1387835640,light_activity
5694,1387834380,1387834740,off_wrist
5695,1387831800,1387834380,moderate_activity
5696,1387831620,1387831800,light_activity
5697,1387831020,1387831620,moderate_activity
5698,1387830840,1387831020,inactive
5699,1387830120,1387830840,light_activity
5700,1387829580,1387830120,inactive
5701,1387829280,1387829580,light_activity
5702,1387829040,1387829280,inactive
5703,1387828980,1387829040,light_activity
5704,1387828740,1387828980,inactive
5705,1387828680,1387828740,light_activity
5706,1387828440,1387828680,inactive
5707,1387828380,1387828440,light_activity
5708,1387826040,1387828380,inactive
5709,1387825860,1387826040,light_activity
5710,1387824840,1387825860,inactive
5711,1387824480,1387824840,light_activity
5712,1387823460,1387824480,inactive
5713,1387823400,1387823460,light_activity
5714,1387822440,1387823400,inactive
5715,1387822140,1387822440,light_activity
5716,1387821420,1387822140,inactive
5717,1387820760,1387821420,light_activity
5718,1387820340,1387820760,inactive
5719,1387819380,1387820340,light_activity
5720,1387818960,1387819380,inactive
5721,1387818840,1387818960,light_activity
5722,1387818540,1387818840,inactive
5723,1387817880,1387818540,light_activity
5724,1387817580,1387817880,inactive
5725,1387817280,1387817580,light_activity
5726,1387816800,1387817280,inactive
5727,1387816680,1387816800,light_activity
5728,1387815660,1387816680,inactive
5729,1387815360,1387815660,light_activity
5730,1387787040,1387815360,sleep
5731,1387786740,1387787040,inactive
5732,1387786680,1387786740,light_activity
5733,1387786440,1387786680,inactive
5734,1387785540,1387786440,light_activity
5735,1387942860,1387989420,off_wrist
5736,1387942200,1387942860,moderate_activity
5737,1387941180,1387942200,light_activity
5738,1387939320,1387941180,inactive
5739,1387939200,1387939320,light_activity
5740,1387938780,1387939200,inactive
5741,1387938540,1387938780,light_activity
5742,1387937400,1387938540,inactive
5743,1387937040,1387937400,light_activity
5744,1387935300,1387937040,inactive
5745,1387934880,1387935300,light_activity
5746,1387934520,1387934880,inactive
5747,1387934460,1387934520,light_activity
5748,1387934220,1387934460,inactive
5749,1387933920,1387934220,light_activity
5750,1387933500,1387933920,inactive
5751,1387933440,1387933500,light_activity
5752,1387933260,1387933440,inactive
5753,1387933200,1387933260,light_activity
5754,1387932540,1387933200,inactive
5755,1387932300,1387932540,light_activity
5756,1387932120,1387932300,inactive
5757,1387932060,1387932120,light_activity
5758,1387931160,1387932060,inactive
5759,1387931100,1387931160,light_activity
5760,1387930680,1387931100,inactive
5761,1387930260,1387930680,light_activity
5762,1387928580,1387930260,inactive
5763,1387928520,1387928580,light_activity
5764,1387928220,1387928520,inactive
5765,1387928100,1387928220,light_activity
5766,1387927560,1387928100,inactive
5767,1387926660,1387927560,light_activity
5768,1387926180,1387926660,inactive
5769,1387925940,1387926180,light_activity
5770,1387925700,1387925940,inactive
5771,1387925580,1387925700,light_activity
5772,1387925340,1387925580,inactive
5773,1387925040,1387925340,light_activity
5774,1387924560,1387925040,inactive
5775,1387924440,1387924560,light_activity
5776,1387923960,1387924440,inactive
5777,1387923540,1387923960,light_activity
5778,1387922940,1387923540,moderate_activity
5779,1387922760,1387922940,light_activity
5780,1387922580,1387922760,inactive
5781,1387922520,1387922580,light_activity
5782,1387922220,1387922520,inactive
5783,1387922160,1387922220,light_activity
5784,1387920720,1387922160,inactive
5785,1387920660,1387920720,light_activity
5786,1387919520,1387920660,inactive
5787,1387919460,1387919520,light_activity
5788,1387917840,1387919460,inactive
5789,1387917720,1387917840,light_activity
5790,1387914180,1387917720,inactive
5791,1387913700,1387914180,light_activity
5792,1387909860,1387913700,inactive
5793,1387909800,1387909860,light_activity
5794,1387909380,1387909800,inactive
5795,1387909320,1387909380,light_activity
5796,1387904160,1387909320,inactive
5797,1387904100,1387904160,light_activity
5798,1387903860,1387904100,inactive
5799,1387903800,1387903860,light_activity
5800,1387903500,1387903800,inactive
5801,1387903440,1387903500,light_activity
5802,1387903200,1387903440,inactive
5803,1387903080,1387903200,light_activity
5804,1387902300,1387903080,inactive
5805,1387901940,1387902300,light_activity
5806,1387901760,1387901940,inactive
5807,1387901040,1387901760,light_activity
5808,1387900740,1387901040,inactive
5809,1387899660,1387900740,light_activity
5810,1387898820,1387899660,inactive
5811,1387898700,1387898820,light_activity
5812,1387898460,1387898700,inactive
5813,1387898400,1387898460,light_activity
5814,1387898040,1387898400,inactive
5815,1387896600,1387898040,moderate_activity
5816,1387896420,1387896600,light_activity
5817,1387895100,1387896420,off_wrist
5818,1387895040,1387895100,light_activity
5819,1387894800,1387895040,inactive
5820,1387871340,1387894800,sleep
5821,1388040600,1388076060,sleep
5822,1388038080,1388040600,inactive
5823,1388037600,1388038080,light_activity
5824,1388035980,1388037600,inactive
5825,1388035560,1388035980,light_activity
5826,1388034120,1388035560,inactive
5827,1388034060,1388034120,light_activity
5828,1388032200,1388034060,inactive
5829,1388032140,1388032200,light_activity
5830,1388030940,1388032140,inactive
5831,1388030880,1388030940,light_activity
5832,1388027160,1388030880,inactive
5833,1388026800,1388027160,light_activity
5834,1388024640,1388026800,inactive
5835,1388024580,1388024640,light_activity
5836,1388023740,1388024580,inactive
5837,1388023560,1388023740,light_activity
5838,1388019540,1388023560,inactive
5839,1388019480,1388019540,light_activity
5840,1388018160,1388019480,inactive
5841,1388017680,1388018160,light_activity
5842,1388016600,1388017680,inactive
5843,1388016540,1388016600,light_activity
5844,1388016180,1388016540,inactive
5845,1388016060,1388016180,light_activity
5846,1388014500,1388016060,inactive
5847,1388014260,1388014500,light_activity
5848,1388012160,1388014260,inactive
5849,1388011620,1388012160,light_activity
5850,1388010120,1388011620,inactive
5851,1388009700,1388010120,light_activity
5852,1388008680,1388009700,inactive
5853,1388008560,1388008680,light_activity
5854,1388007000,1388008560,inactive
5855,1388006040,1388007000,light_activity
5856,1388005860,1388006040,inactive
5857,1388005680,1388005860,light_activity
